id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
10132552,191.528018,2.342,171.8,6054.0,1.009,4.416,6.4,288.3555,47.106468,FALSE POSITIVE,kepler
10132832,16.07673148,2.205,488.0,5957.0,0.971,4.498,19.3,288.47964,47.101768,CONFIRMED,kepler
10132908,386.59946,3.305,380.7,6137.0,0.963,4.487,5.8,288.50931,47.120701,FALSE POSITIVE,kepler
10134152,39.3135699,5.0137,500.1,6060.0,0.925,4.509,33.8,289.06433,47.11742,CONFIRMED,kepler
10136549,3.29276797,4.8069,80.7,5683.0,1.472,4.108,40.8,290.06049,47.16396,CONFIRMED,kepler
10136549,9.69315023,5.6725,141.8,5683.0,1.472,4.108,45.1,290.06049,47.16396,CONFIRMED,kepler
10139305,2.173552528,1.6107,3026.0,5008.0,0.594,4.663,35.9,291.14401,47.185459,FALSE POSITIVE,kepler
10139390,358.56462,11.64,170.2,5375.0,0.752,4.531,9.6,291.17566,47.10561,FALSE POSITIVE,kepler
10139620,372.37369,12.33,666.1,6109.0,1.029,4.455,15.6,291.26672,47.114769,FALSE POSITIVE,kepler
1014.01,1.4095184,0.9484999,2841.5103258,9307.0,,,1625.6180218,103.561602,-34.22282,FALSE POSITIVE,tess
10140122,0.849362238,1.36,114.9,4973.0,0.788,4.595,11.9,291.45813,47.15863,CANDIDATE,kepler
10140274,2.44232399,1.921,229.0,4849.0,0.738,4.561,14.1,291.51819,47.139301,CANDIDATE,kepler
10140843,367.19796,15.92,146.1,6054.0,0.889,4.525,10.7,291.73361,47.109161,FALSE POSITIVE,kepler
10141271,15.4032765,3.246,253.0,5272.0,0.799,4.508,9.2,291.90961,47.174339,FALSE POSITIVE,kepler
10141900,1.196548464,1.2592,224.6,4999.0,0.843,4.49,16.5,292.14447,47.157349,CONFIRMED,kepler
10141900,4.09667624,2.19,302.3,4999.0,0.843,4.49,16.2,292.14447,47.157349,CONFIRMED,kepler
10141900,6.50327035,2.591,418.3,4999.0,0.843,4.49,19.0,292.14447,47.157349,CONFIRMED,kepler
10141900,9.6550473,2.752,313.1,4999.0,0.843,4.49,12.2,292.14447,47.157349,CANDIDATE,kepler
10141938,360.76458,21.22,383.7,5513.0,0.724,4.616,10.0,292.16028,47.166649,FALSE POSITIVE,kepler
10146103,7.58062893,3.484,86.1,5753.0,1.041,4.417,10.9,293.74625,47.15406,CANDIDATE,kepler
10147276,0.681401611,0.865,103.6,6173.0,1.041,4.447,12.3,294.16489,47.176281,FALSE POSITIVE,kepler
10148521,1.204274435,1.3362,185.8,5668.0,0.849,4.552,34.7,294.59613,47.197449,FALSE POSITIVE,kepler
10149023,9.95639775,5.615,510.5,6161.0,1.053,4.454,32.9,294.76855,47.13279,CANDIDATE,kepler
