# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
498,EPIC 201403446,K2-46 b,K2-46 b
499,EPIC 201647718,K2-47 b,K2-47 b
500,EPIC 201677835,K2-48 b,K2-48 b
501,EPIC 201690311,K2-49 b,K2-49 b
502,EPIC 201338508,K2-5 b,K2-5 b
503,EPIC 201338508,K2-5 c,K2-5 c
504,EPIC 201833600,K2-50 b,K2-50 b
505,EPIC 201833600,K2-50 c,EPIC 201833600 c
506,EPIC 203776696,K2-52 b,K2-52 b
507,EPIC 204890128,K2-53 b,K2-53 b
508,EPIC 205916793,K2-54 b,K2-54 b
509,EPIC 205924614,K2-55 b,K2-55 b
510,EPIC 210848071,K2-56 b,BD+20 594 b
511,EPIC 206026136,K2-57 b,K2-57 b
512,EPIC 206026904,K2-58 b,K2-58 b
513,EPIC 206026904,K2-58 c,K2-58 c
514,EPIC 206026904,K2-58 d,K2-58 d
515,EPIC 206027655,K2-59 b,K2-59 b
516,EPIC 206027655,K2-59 c,K2-59 c
517,EPIC 201384232,K2-6 b,K2-6 b
518,EPIC 206038483,K2-60 b,K2-60 b
519,EPIC 206044803,K2-61 b,K2-61 b
520,EPIC 206096602,K2-62 b,K2-62 b
521,EPIC 206096602,K2-62 c,K2-62 c
